bebida,custobebida
"VT PENTEO PRIMITIVO DE MANDUR",158.00
"VT PREMIER RENDEZ V MERL CAB S",120.33
"VT QUINTA DA ESP RESERVA  REG A",130.98
"VT RISCAL TEMPRANILLO CAST",101.46
"VT SECRETO",52.03
"VT TARAPACA RES CABERNET SAUVI",57.70
"VT VENTISQ RES CABER SAUVIGNON",60.39
"VT VEZZANI SANGIOVERSE RUBICON",69.96
"VV BICO AMARELO ESPORAO",63.62
"VV CRUZEIRO DOS ARCOS",60.40
"WHISKY BLACK WHITE",48.94
"DRAMBUIE DS",10.28
"ESP FREIXENET CORDON NEGRO BRU",67.20
"JOHNNIE WALKER RED LABEL",98.47
"LOGAN DS",10.10
"MEIA SETE",0.00
"RON HAVANA 7 YEARS DS",6.19
"SUCO COPO DE MARACUJA",1.63
"SUCO JARRA MARACUJA",5.96
"VB CHIANTI VALVIRGINIO SECRETO",52.03
"VB ESP REG ALENTEJO BRANCO",0.00
"VB ITA CIAO BELLA PINOT NOIR",0.00
"VB MIGUEL TORRES ANDICA GEWURZ",0.00
"VB SHAKA CHARDONNAY",68.00
"JOHNNIE WALKER RED LABEL",98.47
"WHITE HORSE DS",3.45
"VT ANGELICA ZAPATA CAB SAUVIGN",228.26
"VT CASAS DEL MAIPO RESERVA  MER",68.04
"VT CASTILLO MONTEARAGON RESER",85.00
"VT COTES DU RHONE",0.00
"VT LAS PERDICES CHA CHAC CABER",45.26
"VT NORTON DOC MALBEC",98.00
"VT QUINTA DA LACEIRA DOURO",93.42
"VT REAL LAVRADOR ALENTEJO",70.19
"VT VENTISQUEIRO RES PINOT NOIR",60.39
"VODKA SMIRNOFF GF",45.99
"Coca cola simples",5.00
sacolinhas,2.00
